to run;бежать
to paint;рисовать
to wash;мыть
to smile;улыбаться
to swim;плавать
to read;читать
to eat;есть
to walk;ходить
hand ;кисть руки
arm;рука
tummy;живот
toes;пальцы ног
fingers;пальцы
head;голова
chest;грудь
leg;нога
foot;стопа
hair;волосы
ear;ухо
mouth ;рот
neck;шея
eyebrow;бровь
eye ;глаз
nose;нос
teeth;зубы
scooter ;самокат
swing;качели
kite;воздушный змей
ball ;мяч
skipping rope;скакалка
cart;тележка
roof;крыша
wheel;колесо
mirror ;зеркало
door;дверь
windscreen;лобовое стекло
steering wheel;руль
headlight;фары
bonnet;капот
roof ;крыша
window;окно
steps;ступеньки
door;дверь
shutters ;ставни
chimney;дымоход
light;свет
cushion;подушка
sofa;диван
bookcase;книжный шкаф
armchair;кресло
table ;стол
rug;коврик
television;телевизор
keys ;ключи
books;книги
vase of flowers;ваза цветов
telephone;телефон
fork;вилка
spoon;ложка
dishwasher;посудомоечная машина
knife;нож
plate ;тарелка
bowl;миска
toaster;тостер
cooker;духовка
tap;кран
refrigerator;холодильник
saucepan;кастрюля
kitchen sink;кухонная раковина
frying pan;сковорода
apple;яблоко
bananas;бананы
cherries;вишни
orange;апельсин
pineapple;ананас
strawberry;клубника
potatoes;картошка
broccoli;брокколи
tomatoes;помидоры
onions ;лук
carrots;морковь
sweet corn;сладкая кукуруза
bread ;хлеб
toast;тост
cereal ;хлопья
butter;масло
cheese;сыр
eggs;яйца
tea;чай
milk;молоко
coffee;кофе
spaghetti;спагети
pasta;паста
pizza;пицца
bacon;бекон
fish;рыба
chicken;курица
honey ;мёд
ice cream ;мороженое
cake;торт
hot dog;хот-дог
hamburger;гамбургер
chips;чипсы
mirror ;зеркало
tap;кран
wash basin;раковина
toilet ;унитаз
blind ;штора
bath;ванна
tiles;плитки
hairbrush;расчёска
soap;мыло
towel ;полотенце
comb;гребень
shower;душ
toothbrush;зубная щётка
iron;утюг
laundry basket ;корзина для белья
ironing board;гладильная доска
clothes peg;прищепка
teddy bear;плюшевый мишка
detergent;моющее средство
mop;швабра
bucket;ведро
washing machine;стиральная машина
pyjamas ;пижама
book;книга
clock;часы
chair;стул
wall;стена
drawers;ящики
pillow;подушка
bed;кровать
carpet;ковёр
desk;стол
shelf;полка
light;свет
computer;компьютер
wastepaper basket;корзина
wardrobe;гардероб
window;окно
glove ;перчатка
jumper;свитер
scarf;шарф
boot;башмак
T-shirt;футболка
jeans;джинсы
trainers;кеды
jacket;куртка
socks;носки
coat;зимняя куртка
shirt;рубашка
hat;шапка
dress;платье
sandals;сандали
skirt;юбка
belt ;ремень
trousers;брюки
bag;сумка
shoes;туфли
pink pencil;розовый карандаш
blue pencil;синий карандаш
yellow pencil;жёлтый карандаш
orange pencil;оранжевый карандаш
red pencil;красный карандаш
green pencil;зелёный карандаш
scissors;ножницы
paper;бумага
felt pens;фломастеры
notebook;блокнот
paintbrush;кисточка
paints;краски
sky;небо
cloud;облако
flowers;цветы
sea;море
sand;песок
leaves;листья
snow;снег
tractor;трактор
motorbike;мотоцикл
lorry;грузовик
yacht;яхта
aeroplane;самолёт
hot air balloon;воздушный шар
digger;экскаватор
car;машина
bicycle ;велосипед
train;поезд
cat and kitten;кошка и котёнок
guinea pig;морская свинка
rabbit;кролик
dog and puppy ;собака и щенок
fish;рыба
pony;пони
cow;корова
kid;ребёнок
goat;коза
chicken;курица
chick;цыплёнок
pig;свинья
lamb;ягнёнок
sheep;овца
horse;лошадь
eagle ;орёл
elephant;слон
frog;лягушка
dolphin;дельфин
koala;коала
penguin;пингвин
bear;медведь
butterfly;бабочка
tiger;тигр
square ;квадрат
circle;круг
triangle;треугольник
star;звезда
rectangle;прямоугольник
heart;сердце
